13:38:10-Adrianeleite-2017-06-19-13:38:51.png$[{"bounding_box": [0, 268, 366, 480], "index_emotion": 3, "faceRectangle": {"height": 480, "top": 0, "left": 268, "width": 366}, "emotion": "felicidade"}, {"bounding_box": [90, 0, 415, 148], "index_emotion": 0, "faceRectangle": {"height": 148, "top": 90, "left": 0, "width": 415}, "emotion": "raiva"}]
13:38:12-Adrianeleite-2017-06-19-13:39:09.png$[{"bounding_box": [30, 239, 356, 480], "index_emotion": 6, "faceRectangle": {"height": 480, "top": 30, "left": 239, "width": 356}, "emotion": "neutralidade"}]
13:38:14-Adrianeleite-2017-06-19-13:38:57.png$[{"bounding_box": [90, 209, 415, 480], "index_emotion": 5, "faceRectangle": {"height": 480, "top": 90, "left": 209, "width": 415}, "emotion": "surpresa"}]
13:38:20-Adrianeleite-2017-06-19-13:40:18.png$[{"bounding_box": [119, 239, 445, 480], "index_emotion": 2, "faceRectangle": {"height": 480, "top": 119, "left": 239, "width": 445}, "emotion": "medo"}]
13:38:22-Adrianeleite-2017-06-19-13:40:25.png$[{"bounding_box": [119, 239, 445, 480], "index_emotion": 3, "faceRectangle": {"height": 480, "top": 119, "left": 239, "width": 445}, "emotion": "felicidade"}]
13:38:24-Adrianeleite-2017-06-19-13:39:23.png$[{"bounding_box": [119, 239, 445, 480], "index_emotion": 3, "faceRectangle": {"height": 480, "top": 119, "left": 239, "width": 445}, "emotion": "felicidade"}]
13:38:26-Adrianeleite-2017-06-19-13:39:48.png$[{"bounding_box": [18, 232, 402, 480], "index_emotion": 6, "faceRectangle": {"height": 480, "top": 18, "left": 232, "width": 402}, "emotion": "neutralidade"}]
13:38:28-Adrianeleite-2017-06-19-13:39:54.png$[{"bounding_box": [60, 269, 386, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 60, "left": 269, "width": 386}, "emotion": "tristeza"}]
13:38:30-Adrianeleite-2017-06-19-13:39:16.png$[{"bounding_box": [90, 239, 415, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 90, "left": 239, "width": 415}, "emotion": "tristeza"}]
13:38:32-Adrianeleite-2017-06-19-13:40:37.png$[{"bounding_box": [53, 232, 438, 480], "index_emotion": 6, "faceRectangle": {"height": 480, "top": 53, "left": 232, "width": 438}, "emotion": "neutralidade"}]
13:38:34-Adrianeleite-2017-06-19-13:40:35.png$[{"bounding_box": [90, 269, 415, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 90, "left": 269, "width": 415}, "emotion": "tristeza"}]
13:38:36-Adrianeleite-2017-06-19-13:40:39.png$[{"bounding_box": [149, 239, 475, 480], "index_emotion": 2, "faceRectangle": {"height": 480, "top": 149, "left": 239, "width": 475}, "emotion": "medo"}]
13:38:38-Adrianeleite-2017-06-19-13:39:54.png$[{"bounding_box": [119, 269, 445, 480], "index_emotion": 2, "faceRectangle": {"height": 480, "top": 119, "left": 269, "width": 445}, "emotion": "medo"}]
13:38:40-Adrianeleite-2017-06-19-13:39:45.png$[{"bounding_box": [53, 232, 438, 480], "index_emotion": 6, "faceRectangle": {"height": 480, "top": 53, "left": 232, "width": 438}, "emotion": "neutralidade"}]
13:38:44-Adrianeleite-2017-06-19-13:39:32.png$[{"bounding_box": [53, 232, 438, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 53, "left": 232, "width": 438}, "emotion": "tristeza"}]
13:38:46-Adrianeleite-2017-06-19-13:39:27.png$[{"bounding_box": [53, 232, 438, 480], "index_emotion": 6, "faceRectangle": {"height": 480, "top": 53, "left": 232, "width": 438}, "emotion": "neutralidade"}]
13:38:48-Adrianeleite-2017-06-19-13:39:54.png$[{"bounding_box": [53, 232, 438, 480], "index_emotion": 6, "faceRectangle": {"height": 480, "top": 53, "left": 232, "width": 438}, "emotion": "neutralidade"}]
13:38:50-Adrianeleite-2017-06-19-13:39:31.png$[{"bounding_box": [90, 269, 415, 480], "index_emotion": 0, "faceRectangle": {"height": 480, "top": 90, "left": 269, "width": 415}, "emotion": "raiva"}]
13:38:52-Adrianeleite-2017-06-19-13:39:58.png$[{"bounding_box": [60, 269, 386, 480], "index_emotion": 3, "faceRectangle": {"height": 480, "top": 60, "left": 269, "width": 386}, "emotion": "felicidade"}]
13:38:56-Adrianeleite-2017-06-19-13:39:37.png$[{"bounding_box": [1, 239, 326, 480], "index_emotion": 3, "faceRectangle": {"height": 480, "top": 1, "left": 239, "width": 326}, "emotion": "felicidade"}]
